BTEXT103,BTEXT180,BTEXT181,BTEXT104,Asterisk,BTEXT105,BTEXT106,BTEXT107,BTEXT108,BTEXT109,BTEXT145,BTEXT110,BTEXT111,BTEXT112,BTEXT113,BTEXT114,BTEXT188,BTEXT115,BTEXT116,BTEXT184,BTEXT117,BTEXT163,BTEXT165,BTEXT118,BTEXT164,BTEXT166,BTEXT120,BTEXT121,BTEXT123,BTEXT126,BTEXT127,BTEXT128,BTEXT129,REPDATE_GROUPING,GROUP1,REPDT_FMT,DT_AVAILABLE_ROOMS,DT_AVAILABLE_ROOMS_STS,DT_OUT_OF_ORDER,DT_OUT_OF_ORDER_STS,DT_ROOMS_SOLD,DT_ROOMS_SOLD_STS,DT_ROOMS_TO_SELL,DT_ROOMS_TO_SELL_STS,DT_OCCUPANCY,DT_ARRIVALS_RMS,DT_ARRIVALS_RMS_STS,DT_ARRIVALS_RMS_NGTD,DT_ARRIVALS_RMS_NGTD_STS,DT_ARRIVALS_RES,DT_STAYOVERS_RMS,DT_STAYOVERS_RMS_STS,DT_DEPARTURES_RMS,DT_DEPARTURES_RMS_STS,DT_DEPARTURES_RES,DT_COMPLIMENTARY_RMS,DT_COMPLIMENTARY_RMS_STS,DT_HOUSEUSE,DT_HOUSEUSE_STS,DT_NOSHOW_RMS,DT_NOSHOW_RMS_STS,DT_DAYUSE_RMS,DT_DAYUSE_RMS_STS,DT_WAITLIST_RMS,DT_WAITLIST_RMS_STS,DT_TRANSIENT_RMS,DT_TRANSIENT_RMS_STS,DT_TRANS_REVENUE,DT_TRANS_ADR,DT_GRP_PICKUP_RMS,DT_GRP_PICKUP_RMS_STS,DT_GRP_REVENUE,DT_GRP_ADR,DT_GRP_REMAINING_RMS,DT_GRP_REMAINING_RMS_STS,DT_CNT_PICKUP_RMS,DT_CNT_PICKUP_RMS_STS,DT_CNT_REMAINING_RMS,DT_CNT_REMAINING_RMS_STS,DT_REVENUE,DT_ADR,DT_RREVPAR,DT_GUESTS,UNITTYPE,BTEXT150,CODE,CODE_DESC,AVAILABLE_ROOMS,OUT_OF_ORDER,ROOMS_SOLD,ROOMS_TO_SELL,OCCUPANCY,ARRIVALS_RMS,ARRIVALS_RMS_NGTD,ARRIVALS_RES,STAYOVERS_RMS,DEPARTURES_RMS,DEPARTURES_RES,COMPLIMENTARY_RMS,HOUSEUSE,NOSHOW_RMS,DAYUSE_RMS,WAITLIST_RMS,TRANSIENT_RMS,TRANS_REVENUE,TRANS_ADR,GRP_PICKUP_RMS,GROUP_REVENUE,GROUP_ADR,GRP_REMAINING_RMS,CNT_PICKUP_RMS,CNT_REMAINING_RMS,REVENUE,ADR,RREVPAR,GUESTS,GRP1_AVAILABLE_ROOMS,GRP1_AVAILABLE_ROOMS_STS,GRP1_OUT_OF_ORDER,GRP1_OUT_OF_ORDER_STS,GRP1_ROOMS_SOLD,GRP1_ROOMS_SOLD_STS,GRP1_ROOMS_TO_SELL,GRP1_ROOMS_TO_SELL_STS,GRP1_OCCUPANCY,GRP1_ARRIVALS_RMS,GRP1_ARRIVALS_RMS_STS,GRP1_ARRIVALS_RMS_NGTD,GRP1_ARRIVALS_RMS_NGTD_STS,GRP1_ARRIVALS_RES,GRP1_STAYOVERS_RMS,GRP1_STAYOVERS_RMS_STS,GRP1_DEPARTURES_RMS,GRP1_DEPARTURES_RMS_STS,GRP1_DEPARTURES_RES,GRP1_COMPLIMENTARY_RMS,GRP1_COMPLIMENTARY_RMS_STS,GRP1_HOUSEUSE,GRP1_HOUSEUSE_STS,GRP1_NOSHOW_RMS,GRP1_NOSHOW_RMS_STS,GRP1_DAYUSE_RMS,GRP1_DAYUSE_RMS_STS,GRP1_WAITLIST_RMS,GRP1_WAITLIST_RMS_STS,GRP1_TRANSIENT_RMS,GRP1_TRANSIENT_RMS_STS,GRP1_TRANS_REVENUE,GRP1_TRANS_ADR,GRP1_GRP_PICKUP_RMS,GRP1_GRP_PICKUP_RMS_STS,GRP1_GRP_REVENUE,GRP1_GRP_ADR,GRP1_GRP_REMAINING_RMS,GRP1_GRP_REMAINING_RMS_STS,GRP1_CNT_PICKUP_RMS,GRP1_CNT_PICKUP_RMS_STS,GRP1_CNT_REMAINING_RMS,GRP1_CNT_REMAINING_RMS_STS,GRP1_REVENUE,GRP1_ADR,GRP1_RREVPAR,GRP1_GUESTS,TOT_AVAILABLE_ROOMS,TOT_AVAILABLE_ROOMS_STS,TOT_OUT_OF_ORDER,TOT_OUT_OF_ORDER_STS,TOT_ROOMS_SOLD,TOT_ROOMS_SOLD_STS,TOT_ROOMS_TO_SELL,TOT_ROOMS_TO_SELL_STS,TOT_OCCUPANCY,TOT_ARRIVALS_RMS,TOT_ARRIVALS_RMS_STS,TOT_ARRIVALS_RMS_NGTD,TOT_ARRIVALS_RMS_NGTD_STS,TOT_ARRIVALS_RES,TOT_STAYOVERS_RMS,TOT_STAYOVERS_RMS_STS,TOT_DEPARTURES_RMS,TOT_DEPARTURES_RMS_STS,TOT_DEPARTURES_RES,TOT_COMPLIMENTARY_RMS,TOT_COMPLIMENTARY_RMS_STS,TOT_HOUSEUSE,TOT_HOUSEUSE_STS,TOT_NOSHOW_RMS,TOT_NOSHOW_RMS_STS,TOT_DAYUSE_RMS,TOT_DAYUSE_RMS_STS,TOT_WAITLIST_RMS,TOT_WAITLIST_RMS_STS,TOT_TRANSIENT_RMS,TOT_TRANSIENT_RMS_STS,TOT_TRANS_REVENUE,TOT_TRANS_ADR,TOT_GRP_PICKUP_RMS,TOT_GRP_PICKUP_RMS_STS,TOT_GRP_REVENUE,TOT_GRP_ADR,TOT_GRP_REMAINING_RMS,TOT_GRP_REMAINING_RMS_STS,TOT_CNT_PICKUP_RMS,TOT_CNT_PICKUP_RMS_STS,TOT_CNT_REMAINING_RMS,TOT_CNT_REMAINING_RMS_STS,TOT_REVENUE,TOT_ADR,TOT_RREVPAR,TOT_GUESTS,PARAMS_FMT
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-03-26 00:00:00,History,03/26/2023 Sun,150,0,2,0,142,0,6,0,94.666667,110,0,0,0,108,32,0,87,0,86,0,0,0,0,3,0,0,0,0,0,142,0,18496.34,130.255915,0,0,0,0,0,0,0,0,0,0,18496.34,130.255915,123.308933,222 / 18,ROOM,Suites,***,***,,,142,,94.666667,110,0,108,32,87,86,0,0,3,0,0,142,18496.34,130.255915,0,0,0,0,0,0,18496.34,130.255915,123.308933,222 / 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-03-27 00:00:00,History,03/27/2023 Mon,150,0,7,0,119,0,24,0,79.333333,78,0,4,0,76,41,0,101,0,99,2,0,0,0,2,0,0,0,0,0,119,0,15096.51,126.861429,0,0,-149,0,0,0,0,0,0,0,14947.51,125.609328,99.650067,174 / 14,ROOM,Suites,***,***,,,119,,79.333333,78,4,76,41,101,99,2,0,2,0,0,119,15096.51,126.861429,0,-149,0,0,0,0,14947.51,125.609328,99.650067,174 / 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-03-28 00:00:00,History,03/28/2023 Tue,150,0,8,0,139,0,3,0,92.666667,106,0,4,0,104,33,0,86,0,84,2,0,0,0,0,0,0,0,0,0,139,0,18368.07,132.144388,0,0,-149,0,0,0,0,0,0,0,18219.07,131.072446,121.460467,220 / 24,ROOM,Suites,***,***,,,139,,92.666667,106,4,104,33,86,84,2,0,0,0,0,139,18368.07,132.144388,0,-149,0,0,0,0,18219.07,131.072446,121.460467,220 / 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-03-29 00:00:00,History,03/29/2023 Wed,150,0,2,0,139,0,9,0,92.666667,87,0,5,0,85,52,0,87,0,85,3,0,0,0,1,0,1,0,0,0,139,0,16979.34,122.153525,0,0,-139,0,0,0,0,0,0,0,16840.34,121.153525,112.268933,214 / 21,ROOM,Suites,***,***,,,139,,92.666667,87,5,85,52,87,85,3,0,1,1,0,139,16979.34,122.153525,0,-139,0,0,0,0,16840.34,121.153525,112.268933,214 / 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-03-30 00:00:00,History,03/30/2023 Thu,150,0,1,0,143,0,6,0,95.333333,98,0,22,0,97,45,0,94,0,93,0,0,0,0,4,0,1,0,0,0,123,0,21702.62,176.444065,20,0,2250,112.5,0,0,0,0,0,0,23952.62,167.500839,159.684133,210 / 4,ROOM,Suites,***,***,,,143,,95.333333,98,22,97,45,94,93,0,0,4,1,0,123,21702.62,176.444065,20,2250,112.5,0,0,0,23952.62,167.500839,159.684133,210 / 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-03-31 00:00:00,History,03/31/2023 Fri,150,0,0,0,148,0,2,0,98.666667,101,0,6,0,100,47,0,96,0,94,1,0,0,0,2,0,0,0,0,0,109,0,85901.47,788.086881,39,0,6421,164.641026,0,0,0,0,0,0,92322.47,623.800473,615.483133,225 / 10,ROOM,Suites,***,***,,,148,,98.666667,101,6,100,47,96,94,1,0,2,0,0,109,85901.47,788.086881,39,6421,164.641026,0,0,0,92322.47,623.800473,615.483133,225 / 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-01 00:00:00,History,04/01/2023 Sat,150,0,0,0,148,0,2,0,98.666667,22,0,3,0,22,126,0,22,0,22,2,0,0,0,0,0,0,0,0,0,113,0,50202.73,444.271947,35,0,5796,165.6,0,0,0,0,0,0,55998.73,378.369797,373.324867,225 / 13,ROOM,Suites,***,***,,,148,,98.666667,22,3,22,126,22,22,2,0,0,0,0,113,50202.73,444.271947,35,5796,165.6,0,0,0,55998.73,378.369797,373.324867,225 / 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-02 00:00:00,History,04/02/2023 Sun,150,0,26,0,109,0,15,0,72.666667,97,0,8,0,95,12,0,136,0,135,1,0,0,0,2,0,0,0,0,0,107,0,13924,130.130841,2,0,348,174,0,0,0,0,0,0,14272,130.93578,95.146667,190 / 25,ROOM,Suites,***,***,,,109,,72.666667,97,8,95,12,136,135,1,0,2,0,0,107,13924,130.130841,2,348,174,0,0,0,14272,130.93578,95.146667,190 / 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-03 00:00:00,History,04/03/2023 Mon,150,0,7,0,110,0,33,0,73.333333,69,0,3,0,68,41,0,68,0,67,1,0,0,0,3,0,1,0,0,0,110,0,14288.96,129.899636,0,0,0,0,0,0,0,0,0,0,14288.96,129.899636,95.259733,173 / 25,ROOM,Suites,***,***,,,110,,73.333333,69,3,68,41,68,67,1,0,3,1,0,110,14288.96,129.899636,0,0,0,0,0,0,14288.96,129.899636,95.259733,173 / 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Unit Type,Group By,Avail Rms,*,OOO Rms,Rms Sold,Rms To Sell,Occ,Arr Rms,Arrivals (Non-Guaranteed),Arr Res,SO Rms,Deprt Rms,Deprt Res,Cmp Rms,House Use Rms,No Show Rms,Day Use Rms,Wait List Rms,Trans Rms,Trans Rm Rev,Trans ADR,Grp Pkup Rms,Grp Rm Rev,Grp ADR,Grp Rem,Contr Pkup Rms,Contr Rem,Room Revenue,ADR,RevPAR,Guests,2023-04-04 00:00:00,History,04/04/2023 Tue,150,0,2,0,101,0,47,0,67.333333,69,0,3,0,69,32,0,78,0,77,0,0,0,0,2,0,0,0,0,0,101,0,11533.47,114.192772,0,0,0,0,0,0,0,0,0,0,11533.47,114.192772,76.8898,155 / 31,ROOM,Suites,***,***,,,101,,67.333333,69,3,69,32,78,77,0,0,2,0,0,101,11533.47,114.192772,0,0,0,0,0,0,11533.47,114.192772,76.8898,155 / 31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
